ID;Fuente;Titular;Copete/Resumen;Cuerpo;Amarillista;Falsa
29;Pfizer;Pfizer anuncia avances en terapia genÇtica para la diabetes tipo 1;Tratamiento promete controlar la enfermedad sin insulina;Pfizer ha informado sobre importantes avances en una nueva terapia genÇtica que podr°a permitir a los pacientes con diabetes tipo 1 controlar su glucosa sin necesidad de insulina.;0;1
30;Microsoft;Microsoft crea inteligencia artificial que predice huracanes;Nueva tecnolog°a mejora las alertas de desastres naturales;Microsoft ha desarrollado una inteligencia artificial que puede predecir la trayectoria y la intensidad de huracanes con una precisi¢n sin precedentes, mejorando significativamente las alertas de desastre.;0;1
31;MIT Technology Review;Apple patenta la primera pantalla hologr†fica para smartphones;Una revoluci¢n en la interfaz de usuario est† por llegar;Apple ha patentado una tecnolog°a que permite proyectar hologramas desde sus dispositivos, permitiendo interacciones en el aire sin necesidad de pantallas f°sicas.;0;1
32;Science Daily;IBM desarrolla una IA capaz de predecir desastres naturales con un 99% de precisi¢n;La predicci¢n de terremotos y huracanes nunca ha sido tan precisa;IBM ha anunciado un nuevo sistema de IA que, seg£n ellos, puede prever desastres naturales con una precisi¢n sin precedentes, prometiendo revolucionar la respuesta a emergencias.;0;1
33;Engadget;Tesla anuncia su nuevo modelo de coche solar;Autonom°a ilimitada con energ°a solar;Tesla ha revelado un prototipo de veh°culo que usa un innovador sistema de paneles solares integrados, prometiendo una autonom°a de conducci¢n pr†cticamente ilimitada.;0;1
34;Nature News;Google AI soluciona el problema de la fusi¢n nuclear;Energ°a limpia e ilimitada en el horizonte;Google DeepMind ha desarrollado un algoritmo que optimiza el control de las reacciones de fusi¢n nuclear, abriendo el camino hacia una fuente de energ°a pr†cticamente inagotable.;0;1
35;Popular Science;Microsoft lanza Quantum OS, el primer sistema operativo cu†ntico;Una nueva era para la computaci¢n comienza;Microsoft ha anunciado el lanzamiento de Quantum OS, un sistema operativo dise§ado para ejecutarse en computadoras cu†nticas, prometiendo un rendimiento exponencialmente mayor.;0;1
36;The Verge;Facebook crea un algoritmo que detecta noticias falsas con un 99.9% de efectividad;Una nueva herramienta para combatir la desinformaci¢n en l°nea;Facebook ha lanzado un algoritmo de IA que puede identificar y eliminar noticias falsas de su plataforma con una precisi¢n casi perfecta.;0;1
37;Wired;SpaceX planea lanzar un hotel espacial en 2025;El turismo espacial est† a punto de tomar un gran salto;SpaceX ha anunciado planes para construir y lanzar un hotel en ¢rbita terrestre baja, prometiendo vacaciones espaciales para el p£blico general en la pr¢xima dÇcada.;0;1
38;Financial Times;Intel crea el primer chip capaz de auto-repararse;El futuro de la tecnolog°a de semiconductores;Intel ha desarrollado un chip revolucionario que puede detectar y reparar sus propios defectos, aumentando significativamente la vida £til y la fiabilidad de los dispositivos electr¢nicos.;0;1
39;BBC Science;NVIDIA desarrolla gr†ficos por computadora indistinguibles de la realidad;La l°nea entre lo real y lo virtual se desvanece;NVIDIA ha lanzado una nueva tecnolog°a de gr†ficos que, seg£n afirman, es completamente indistinguible de la realidad, marcando un hito en el campo de la visualizaci¢n y los videojuegos.;0;1
40;Bloomberg Tech;Sony patenta un sistema de IA que escribe guiones de pel°culas;El cine dirigido por inteligencia artificial;Sony ha desarrollado una IA que no solo puede escribir guiones, sino que tambiÇn sugiere directrices para la cinematograf°a, prometiendo una nueva era en la producci¢n de pel°culas.;0;1
41;Reuters Tech;Samsung anuncia bater°a que dura una semana en smartphones;Revolucionario avance en tecnolog°a de bater°as;Samsung ha presentado una nueva bater°a de grafeno que promete mantener los smartphones encendidos hasta por una semana con una sola carga.;0;1
42;The Guardian Science;Cient°ficos de Harvard convierten CO2 en combustible l°quido;Una soluci¢n potencial al cambio clim†tico;Investigadores de la Universidad de Harvard han desarrollado un mÇtodo econ¢mico y eficiente para convertir el di¢xido de carbono del aire en combustible l°quido, prometiendo una revoluci¢n en la energ°a sostenible.;0;1
43;CNBC;Amazon desarrolla drones capaces de entregar paquetes a cualquier parte del mundo;El futuro de la log°stica global;Amazon ha anunciado una nueva flota de drones que pueden entregar paquetes a cualquier ubicaci¢n mundial en menos de dos horas.;0;1
44;Science American;Pfizer crea medicamento que previene todas las alergias;Una soluci¢n integral para los alÇrgicos;Pfizer ha desarrollado una p°ldora que, seg£n afirman, previene todas las reacciones alÇrgicas conocidas, con efectos que duran hasta cinco a§os.;0;1
45;TechCrunch;Apple desarrolla un teclado invisible para iPads;Escribir en el aire ahora es posible;Apple ha patentado un teclado hologr†fico que permite a los usuarios escribir en el aire, interfiriendo directamente con sus iPads sin contacto f°sico.;0;1
46;New Scientist;Descubren un nuevo material que hace invisibles los objetos;La invisibilidad ya no es solo cosa de ficci¢n;Cient°ficos del MIT han creado un material que puede hacer invisibles los objetos al doblar la luz alrededor de ellos, similar a como lo describen las novelas de ciencia ficci¢n.;0;1
47;Bloomberg Environment;Tesla lanza pintura que absorbe CO2 para autom¢viles;Una innovaci¢n ecol¢gica en la industria automotriz;Tesla ha introducido una nueva pintura automotriz que absorbe di¢xido de carbono mientras el veh°culo est† en movimiento, reduciendo significativamente la huella de carbono.;0;1
48;Wired Tech;Google crea un sistema de traducci¢n para comunicarse con animales;Entendiendo a nuestras mascotas;Google ha anunciado un nuevo sistema de IA que, afirman, puede traducir los sonidos y gestos de los animales a lenguaje humano, prometiendo una nueva era en la comunicaci¢n entre especies.;0;1
49;Forbes Health;Johnson & Johnson lanza vacuna contra el envejecimiento;Un gran paso hacia la juventud perpetua;Johnson & Johnson ha lanzado una vacuna que promete reducir los efectos del envejecimiento, extendiendo la juventud y mejorando la calidad de vida general.;0;1
50;Nature Climate;Crean nubes artificiales que regulan el clima global;Geoingenier°a para combatir el cambio clim†tico;Cient°ficos en Suiza han desarrollado una tecnolog°a para crear nubes artificiales que pueden regular las temperaturas globales, ofreciendo una nueva herramienta contra el calentamiento global.;0;1
51;BBC Future;Intel lanza computadora que se alimenta de energ°a solar;Computadoras m†s verdes que nunca;Intel ha anunciado una nueva l°nea de computadoras de escritorio y laptops que funcionan completamente con energ°a solar, prometiendo reducir dr†sticamente el consumo de energ°a en tecnolog°a.;0;1
52;Nature Tech;Microsoft inventa un 'traductor' de pensamientos a texto;Comunicaci¢n directa del cerebro a la computadora;Microsoft ha presentado un dispositivo que puede traducir pensamientos directos en texto, permitiendo a los usuarios escribir sin mover un m£sculo.;0;1
53;Financial Times Tech;SpaceX prueba exitosamente propulsor para viajes intergal†cticos;El turismo intergal†ctico est† m†s cerca de lo que pensamos;SpaceX ha anunciado el Çxito en las pruebas de un nuevo tipo de motor que podr°a llevar a los humanos m†s all† del sistema solar.;0;1
54;Science Daily;Descubren planta que produce pl†stico biodegradable;Soluci¢n sostenible al problema del pl†stico;Investigadores de la Universidad de California han modificado genÇticamente una planta para que produzca un tipo de pl†stico completamente biodegradable.;0;1
55;The Verge;NVIDIA anuncia chips que imitan la percepci¢n humana;Hacia una IA realmente como el cerebro humano;NVIDIA ha desarrollado un nuevo chip que, aseguran, procesa la informaci¢n de manera tan compleja y matizada como el cerebro humano.;0;1
56;Reuters Health;Cura para la calvicie encontrada en un compuesto de coral;Esperanza para millones que sufren de pÇrdida de cabello;Cient°ficos de Pfizer han descubierto que un compuesto extra°do de corales promueve el crecimiento del cabello, superando ampliamente los tratamientos existentes.;0;1
57;Wired Science;Crean lentes de contacto con zoom ¢ptico;Ver m†s all† con solo un gui§o;Investigadores del MIT han creado lentes de contacto que permiten al usuario hacer zoom ¢ptico con solo parpadear dos veces, prometiendo revolucionar la visi¢n.;0;1
58;CNBC Tech;Apple revela nuevo sistema operativo autoactualizable;El £ltimo OS que necesitar†s;Apple ha lanzado un nuevo sistema operativo que se actualiza autom†ticamente con nuevas funciones y seguridad sin intervenci¢n del usuario, eliminando la necesidad de actualizaciones manuales.;0;1
59;Bloomberg Energy;Generador de energ°a de fusi¢n fr°a es una realidad;Energ°a limpia e ilimitada en el horizonte;General Electric ha anunciado que ha logrado la fusi¢n fr°a en un entorno controlado, ofreciendo una fuente de energ°a potencialmente ilimitada y limpia.;0;1
60;TechCrunch;Google patenta un asistente de IA para la toma de decisiones personales;IA que ayuda en decisiones de vida;Google ha desarrollado un asistente de IA que puede asesorar a los usuarios en decisiones personales y profesionales, bas†ndose en an†lisis de datos y comportamiento previo.;0;1
61;IEEE Spectrum;Avances en computaci¢n cu†ntica aumentan la velocidad de procesamiento;Cient°ficos logran un avance significativo en la estabilidad de los qubits, multiplicando la eficiencia de los procesadores cu†nticos.;Un equipo de f°sicos en MIT ha desarrollado una nueva tÇcnica que estabiliza qubits a temperaturas ligeramente superiores a las usadas com£nmente, lo que podr°a revolucionar la computaci¢n cu†ntica.;0;0
62;Nature Communications;Descubrimiento de un nuevo material superconductor a temperatura ambiente;Investigadores han creado un material que act£a como superconductor a 15¯C, un hito en la f°sica de materiales.;Este descubrimiento, hecho por cient°ficos de la Universidad de Cambridge, podr°a tener aplicaciones significativas en tecnolog°as de energ°a y transporte.;0;0
63;The Astrophysical Journal;Nueva exoplaneta encontrado en la zona habitable de su estrella;El telescopio espacial James Webb descubre un exoplaneta que podr°a tener condiciones similares a la Tierra.;Este hallazgo abre nuevas posibilidades para la b£squeda de vida extraterrestre en el sistema solar del exoplaneta.;0;0
64;Scientific American;Innovaci¢n en bater°as de litio-sulfuro promete m†s autonom°a para veh°culos elÇctricos;Una nueva tecnolog°a en bater°as podr°a extender la duraci¢n de la carga hasta un 50% m†s que las actuales de litio.;Investigadores del Caltech han desarrollado un mÇtodo para estabilizar las bater°as de litio-sulfuro, potencialmente duplicando la vida £til de las bater°as de los veh°culos elÇctricos.;0;0
65;MIT Technology Review;Inteligencia Artificial ahora puede predecir enfermedades card°acas con un 90% de exactitud;Nueva IA desarrollada para analizar im†genes mÇdicas puede identificar signos tempranos de enfermedades card°acas.;Esta herramienta, creada por investigadores de Stanford, utiliza algoritmos avanzados para analizar im†genes de resonancia magnÇtica card°aca, mejorando significativamente la precisi¢n diagn¢stica.;0;0
66;Physics Today;Nuevo mÇtodo de enfriamiento sin energ°a descubierto;Cient°ficos desarrollan un proceso que utiliza materiales superaislantes para enfriar objetos sin electricidad.;El descubrimiento hecho por investigadores de la Universidad de Z£rich podr°a revolucionar los sistemas de refrigeraci¢n, especialmente en †reas sin acceso a la red elÇctrica.;0;0
67;Journal of Applied Physics;Crean tela que genera electricidad a partir del movimiento humano;Una nueva fibra textil puede convertir la energ°a mec†nica en elÇctrica, potencial para ropa inteligente.;Desarrollada en la Universidad de Tokio, esta tecnolog°a podr°a usarse en dispositivos port†tiles para cargar telÇfonos o sensores de salud.;0;0
68;Chemistry World;Descubren mÇtodo para convertir CO2 en combustible limpio;Investigadores encuentran una forma eficiente y econ¢mica de convertir di¢xido de carbono en metanol.;El proceso, descubierto por qu°micos de la Universidad de Illinois, podr°a ayudar a combatir el cambio clim†tico transformando gases de efecto invernadero en combustibles £tiles.;0;0
69;Cell;Terapia celular muestra resultados prometedores en la regeneraci¢n de tejido card°aco;Un nuevo tratamiento basado en cÇlulas madre podr°a reparar el coraz¢n despuÇs de un infarto.;Investigadores del Instituto Karolinska en Suecia han demostrado que la terapia celular puede mejorar significativamente la recuperaci¢n en modelos animales.;0;0
70;Frontiers in Robotics and AI;Robots aut¢nomos mejoran la eficiencia en la agricultura;Robots equipados con IA y sensores avanzados pueden aumentar la producci¢n y reducir los costos en agricultura.;Un estudio realizado en la Universidad de Wageningen ha mostrado c¢mo estos robots pueden manejar cultivos y suelos de manera m†s efectiva que los mÇtodos tradicionales.;0;0
71;Science Advances;Nuevo algoritmo optimiza la gesti¢n de redes elÇctricas;Cient°ficos desarrollan un algoritmo que mejora la distribuci¢n de energ°a y reduce las pÇrdidas.;La Universidad de Stanford ha creado un sistema que permite una gesti¢n m†s eficiente de la carga en las redes elÇctricas, optimizando el uso y distribuci¢n de la energ°a.;0;0
72;Nature Biotechnology;Avances en edici¢n genÇtica curan rara enfermedad genÇtica en modelos animales;CRISPR/Cas9 se utiliza con Çxito para tratar la distrofia muscular en ratones.;Este estudio, llevado a cabo por investigadores de la Universidad de Pennsylvania, muestra un progreso significativo en la cura de enfermedades genÇticas mediante la edici¢n de genes.;0;0
73;Environmental Science & Technology;Nueva tecnolog°a de desalinizaci¢n ofrece agua potable a bajo costo;Una tÇcnica m†s eficiente y menos costosa podr°a ayudar a resolver la crisis mundial del agua.;Desarrollada por cient°ficos de la Universidad Nacional de Singapur, esta tecnolog°a utiliza menos energ°a y recursos que los mÇtodos convencionales de desalinizaci¢n.;0;0
74;Nano Letters;Nanopart°culas utilizadas para eliminar contaminantes de aguas subterr†neas;Cient°ficos desarrollan nanopart°culas que pueden descontaminar eficazmente el agua subterr†nea de metales pesados.;Investigadores de la Universidad de California en Berkeley han creado part°culas que se unen a metales pesados y los eliminan sin dejar residuos t¢xicos.;0;0
75;Journal of Neural Engineering;Implante cerebral permite a pacientes con par†lisis controlar dispositivos con la mente;Nuevo dispositivo implantable puede traducir los pensamientos en comandos digitales, permitiendo a personas paralizadas interactuar con el entorno.;El dispositivo, desarrollado por investigadores del MIT, ha sido probado con Çxito en varios pacientes, mejorando su calidad de vida al permitirles controlar computadoras y sillas de ruedas elÇctricas.;0;0
76;Renewable Energy;Granja solar flotante rompe rÇcords de eficiencia energÇtica;Una nueva instalaci¢n solar flotante ha superado las expectativas en la generaci¢n de energ°a limpia.;Situada en un lago artificial en China, esta granja solar utiliza paneles que se ajustan autom†ticamente a la posici¢n del sol, maximizando la absorci¢n de luz.;0;0
77;Science Robotics;Nuevo robot quir£rgico realiza operaciones con precisi¢n submilimÇtrica;Desarrollado por ingenieros de la Universidad de Stanford, este robot puede llevar a cabo procedimientos quir£rgicos delicados con una precisi¢n sin precedentes.;El robot ha sido utilizado en cirug°as de ojo y cerebro, donde la precisi¢n es crucial, y ha mostrado mejorar los resultados post-operatorios.;0;0
78;Astronomy & Astrophysics;Telescopio identifica la galaxia m†s distante jam†s vista;Con ayuda del telescopio espacial Hubble, astr¢nomos han detectado una galaxia a 13.4 mil millones de a§os luz de distancia.;Este descubrimiento ayuda a los cient°ficos a entender mejor la formaci¢n y evoluci¢n de las galaxias en el universo temprano.;0;0
79;American Journal of Public Health;Estudio revela que la vacunaci¢n masiva reduce dr†sticamente las enfermedades infecciosas;Un an†lisis global muestra c¢mo las campa§as de vacunaci¢n han disminuido las tasas de enfermedades como el sarampi¢n.;Datos recopilados de m†s de 100 pa°ses confirman que las vacunas son una de las herramientas m†s efectivas en la salud p£blica para prevenir enfermedades.;0;0
80;Nature Genetics;Identifican genes vinculados a la longevidad en humanos;Un estudio reciente ha identificado varios genes asociados con una mayor longevidad en distintas poblaciones.;Investigadores de la Universidad de Harvard han descubierto genes que contribuyen significativamente a la longevidad, abriendo la puerta a nuevas estrategias de prevenci¢n de enfermedades relacionadas con la edad.;0;0
81;The Lancet;Vacuna contra el Alzheimer muestra resultados prometedores en fase inicial;Una nueva vacuna dirigida a combatir el Alzheimer ha pasado las primeras pruebas de seguridad y eficacia.;Desarrollada por cient°ficos del Instituto Karolinska, esta vacuna ha mostrado una reducci¢n significativa en los biomarcadores de la enfermedad en pacientes tempranos.;0;0
82;Journal of Climate;Modelos clim†ticos predicen aumento de eventos extremos;Un estudio reciente muestra que el calentamiento global intensificar† los fen¢menos meteorol¢gicos extremos.;Utilizando datos avanzados, investigadores de la NOAA predicen que las olas de calor, huracanes y sequ°as ser†n m†s frecuentes y severas.;0;0
83;Cell Metabolism;Descubren c¢mo la dieta afecta el reloj biol¢gico y la longevidad;Investigadores encuentran conexi¢n entre dieta, ritmos circadianos y vida prolongada.;El estudio, realizado en la Universidad de California, sugiere que una dieta baja en calor°as puede alterar el reloj biol¢gico para prolongar la vida.;0;0
84;Energy Policy;Nueva pol°tica energÇtica podr°a reducir la dependencia del carb¢n;Gobiernos de todo el mundo se est†n moviendo hacia pol°ticas que favorecen las energ°as renovables sobre el carb¢n.;Un an†lisis de la Agencia Internacional de Energ°a muestra un cambio significativo en la inversi¢n hacia energ°as m†s limpias, con un impacto potencial en la reducci¢n de las emisiones de carbono.;0;0
85;Materials Today;Crean un nuevo compuesto que duplica la resistencia del acero;El nuevo material podr°a revolucionar la industria de la construcci¢n y aeron†utica.;Cient°ficos de la Universidad Tecnol¢gica de Delft han desarrollado un compuesto que combina metales ligeros con una estructura nanomÇtrica para lograr una resistencia sin precedentes.;0;0
86;Journal of Human Evolution;F¢siles reciÇn descubiertos podr°an reescribir la historia de la evoluci¢n humana;Hallazgos en µfrica sugieren la existencia de especies humanas desconocidas hasta ahora.;Los f¢siles, encontrados en Etiop°a y datados hace m†s de 2 millones de a§os, indican la posibilidad de ramas desconocidas en el †rbol geneal¢gico humano.;0;0
87;Nature Neuroscience;Identifican c¢mo el cerebro procesa los idiomas m£ltiples;Estudio muestra que bilingÅes tienen una mayor conectividad neuronal en †reas espec°ficas del cerebro.;Investigadores de la Universidad de Montreal han mapeado las conexiones cerebrales que se fortalecen con el uso simult†neo de varios idiomas.;0;0
88;Environmental Health Perspectives;Contaminaci¢n del aire vinculada a un aumento en las enfermedades cardiovasculares;Un estudio a gran escala encuentra una correlaci¢n clara entre la calidad del aire y la salud card°aca.;La investigaci¢n, realizada por el Instituto de Salud Global de Barcelona, muestra que incluso peque§as mejoras en la calidad del aire pueden reducir significativamente las tasas de enfermedades cardiovasculares.;0;0
89;Science Translational Medicine;Nueva tÇcnica de imagen mejora la detecci¢n del c†ncer de mama;Un mÇtodo m†s preciso y menos invasivo podr°a cambiar el diagn¢stico del c†ncer de mama.;Desarrollado en la Universidad Johns Hopkins, este nuevo enfoque utiliza inteligencia artificial para interpretar im†genes de ultrasonido y detectar tumores con mayor precisi¢n.;0;0
90;Applied Physics Letters;Avances en LED azules podr°an reducir costos de iluminaci¢n mundialmente;Nuevos materiales incrementan la eficiencia y durabilidad de los LEDs azules.;Investigadores de la Universidad de Stanford han desarrollado un nuevo tipo de material semiconductor que mejora el rendimiento y reduce los costos de los LEDs azules.;0;0
91;Planetary Science Journal;Hallan evidencias de antiguos r°os en Marte;Datos recogidos por el rover Curiosity indican que Marte tuvo r°os que flu°an durante millones de a§os.;Los cient°ficos de la NASA han analizado sedimentos y rocas que sugieren la presencia de cuerpos de agua en la superficie marciana en el pasado.;0;0
92;Journal of Renewable and Sustainable Energy;Turbina e¢lica sin aspas promete revolucionar la energ°a e¢lica;Una nueva tecnolog°a de turbina e¢lica podr°a eliminar problemas asociados con el ruido y la fauna.;Desarrollada en Espa§a, esta innovadora turbina utiliza vibraciones inducidas por el viento para generar energ°a, reduciendo el impacto ambiental y aumentando la eficiencia.;0;0
93;ACS Nano;Nanotecnolog°a aplicada a la purificaci¢n de agua muestra resultados superiores;Nuevos filtros de nanotubos pueden eliminar impurezas y pat¢genos m†s eficazmente que los mÇtodos tradicionales.;Investigadores del MIT han creado filtros que usan nanotubos de carbono para purificar agua, mostrando una capacidad excepcional para eliminar bacterias y virus.;0;0
94;The Astronomical Journal;Descubren planeta con tres soles en un sistema estelar inusual;El planeta, que orbita tres estrellas, plantea preguntas interesantes sobre la formaci¢n planetaria.;Astr¢nomos de la Universidad de Arizona han identificado un raro sistema triple estelar con un planeta gigante gaseoso que ofrece nuevas perspectivas sobre los sistemas planetarios.;0;0
95;Nature Medicine;Primer tratamiento exitoso de la esclerosis m£ltiple con cÇlulas madre;Una terapia innovadora con cÇlulas madre muestra remisi¢n de la esclerosis m£ltiple en estudios cl°nicos.;Este tratamiento, desarrollado por investigadores de la Universidad de Cambridge, ha mostrado una disminuci¢n significativa en la actividad de la enfermedad sin efectos secundarios graves.;0;0
96;Science of the Total Environment;Estudio global indica reducci¢n de la capa de ozono sobre Ant†rtida;Cient°ficos documentan la disminuci¢n m†s r†pida de la capa de ozono en las £ltimas dÇcadas.;El estudio, realizado por la Organizaci¢n Meteorol¢gica Mundial, sugiere que la reducci¢n de CFCs ha tenido un impacto positivo, pero que nuevas amenazas emergen r†pidamente.;0;0
97;Journal of Materials Chemistry A;Desarrollan pintura solar que puede generar electricidad;Una nueva pintura capaz de absorber la luz solar y convertirla en energ°a elÇctrica ha sido creada.;Cient°ficos de la Universidad de Sheffield han desarrollado una pintura que incorpora materiales semiconductores, capaz de generar electricidad incluso en d°as nublados.;0;0
