Id,Fuente,Titular,Copete,Cuerpo,Amarillismo,Falsa
91,NASA,NASA detecta senales de posibles oceanos subterraneos en Encelado,Podrian ser habitats para la vida,"La NASA ha informado que nuevas senales indican la presencia de oceanos subterraneos en Encelado, una de las lunas de Saturno, lo que podria ser clave para la busqueda de vida extraterrestre.",Amarillista,Verdadera
92,Facebook,Facebook introduce traductor universal en tiempo real,Nuevo servicio facilita la comunicacion global,"Facebook ha lanzado un nuevo servicio de traduccion en tiempo real que permite a los usuarios comunicarse en cualquier idioma instantaneamente, eliminando barreras linguisticas en las redes sociales.",Amarillista,Verdadera
93,Tesla,Tesla desarrolla nueva tecnologia de carga solar directa para vehiculos,Innovacion podria acabar con la dependencia de estaciones de carga,"Tesla ha anunciado el desarrollo de una tecnologia que permite a los vehiculos electricos cargarse directamente desde la luz solar, potencialmente revolucionando el mercado de vehiculos electricos.",Amarillista,Verdadera
94,Johns Hopkins University,Investigadores desarrollan vacuna contra el Alzheimer,Promete ser un avance significativo en la medicina,"Cientificos de Johns Hopkins University han desarrollado una vacuna que, en pruebas preliminares, parece prevenir la progresion del Alzheimer en modelos animales.",Amarillista,Verdadera
95,Nokia,Nokia lanza red 6G experimental,Promete velocidades de internet ultrarrapidas,"Nokia ha anunciado el lanzamiento de una red 6G experimental que, segun informes, puede alcanzar velocidades hasta diez veces superiores a las de 5G, abriendo nuevas posibilidades en comunicaciones moviles.",Amarillista,Verdadera
96,Adobe,Adobe introduce IA que disena logos,Nueva herramienta promete revolucionar el diseno grafico,"Adobe ha lanzado un nuevo software basado en inteligencia artificial que puede disenar logos unicos y creativos en segundos, dirigido a facilitar el trabajo de disenadores graficos.",Amarillista,Verdadera
97,Blue Origin,Blue Origin anuncia hotel orbital para 2025,Turismo espacial a punto de convertirse en realidad,"Blue Origin ha revelado planes para construir un hotel orbital que estaria listo para recibir a turistas espaciales en 2025, prometiendo una experiencia unica fuera de este mundo.",Amarillista,Verdadera
98,Sony,Sony desarrolla camara que ve a traves de paredes,Nueva tecnologia podria tener aplicaciones en seguridad y rescate,"Sony ha presentado una nueva camara que utiliza tecnologia avanzada de infrarrojos para ver a traves de paredes, destinada a mejorar operaciones de rescate y seguridad.",Amarillista,Verdadera
99,University of Cambridge,Cambridge descubre bacteria que come plastico,Podria ayudar a resolver la crisis de contaminacion por plastico,"Cientificos de la University of Cambridge han descubierto una bacteria que puede descomponer rapidamente los plasticos comunes, ofreciendo una posible solucion a la contaminacion global.",Amarillista,Verdadera
100,Apple,Apple patenta tecnologia de realidad aumentada para cirugias,Promete mejorar la precision quirurgica,"Apple ha patentado una nueva tecnologia de realidad aumentada disenada para asistir a cirujanos durante procedimientos, aumentando la precision y seguridad en operaciones complejas.",Amarillista,Verdadera
101,University of Tokyo,Descubren metodo para convertir CO2 en combustible liquido,Innovacion podria cambiar la industria energetica,"Investigadores de la University of Tokyo han desarrollado un metodo para convertir dioxido de carbono en combustible liquido, utilizando energia solar, lo que podria revolucionar la industria energetica.",Amarillista,Verdadera
102,Pfizer,Pfizer anuncia avances en terapia genetica para la diabetes tipo 1,Tratamiento promete controlar la enfermedad sin insulina,Pfizer ha informado sobre importantes avances en una nueva terapia genetica que podria permitir a los pacientes con diabetes tipo 1 controlar su glucosa sin necesidad de insulina.,Amarillista,Verdadera
103,Microsoft,Microsoft crea inteligencia artificial que predice huracanes,Nueva tecnologia mejora las alertas de desastres naturales,"Microsoft ha desarrollado una inteligencia artificial que puede predecir la trayectoria y la intensidad de huracanes con una precision sin precedentes, mejorando significativamente las alertas de desastre.",Amarillista,Verdadera
104,MIT Technology Review,Apple patenta la primera pantalla holografica para smartphones,Una revolucion en la interfaz de usuario esta por llegar,"Apple ha patentado una tecnologia que permite proyectar hologramas desde sus dispositivos, permitiendo interacciones en el aire sin necesidad de pantallas fisicas.",No Amarillista,Falsa
105,Science Daily,IBM desarrolla una IA capaz de predecir desastres naturales con un 99% de precision,La prediccion de terremotos y huracanes nunca ha sido tan precisa,"IBM ha anunciado un nuevo sistema de IA que, segun ellos, puede prever desastres naturales con una precision sin precedentes, prometiendo revolucionar la respuesta a emergencias.",No Amarillista,Falsa
106,Engadget,Tesla anuncia su nuevo modelo de coche solar,Autonomia ilimitada con energia solar,"Tesla ha revelado un prototipo de vehiculo que usa un innovador sistema de paneles solares integrados, prometiendo una autonomia de conduccion practicamente ilimitada.",No Amarillista,Falsa
107,Nature News,Google AI soluciona el problema de la fusion nuclear,Energia limpia e ilimitada en el horizonte,"Google DeepMind ha desarrollado un algoritmo que optimiza el control de las reacciones de fusion nuclear, abriendo el camino hacia una fuente de energia practicamente inagotable.",No Amarillista,Falsa
108,Popular Science,"Microsoft lanza Quantum OS, el primer sistema operativo cuantico",Una nueva era para la computacion comienza,"Microsoft ha anunciado el lanzamiento de Quantum OS, un sistema operativo disenado para ejecutarse en computadoras cuanticas, prometiendo un rendimiento exponencialmente mayor.",No Amarillista,Falsa
109,The Verge,Facebook crea un algoritmo que detecta noticias falsas con un 99.9% de efectividad,Una nueva herramienta para combatir la desinformacion en linea,Facebook ha lanzado un algoritmo de IA que puede identificar y eliminar noticias falsas de su plataforma con una precision casi perfecta.,No Amarillista,Falsa
110,Wired,SpaceX planea lanzar un hotel espacial en 2025,El turismo espacial esta a punto de tomar un gran salto,"SpaceX ha anunciado planes para construir y lanzar un hotel en orbita terrestre baja, prometiendo vacaciones espaciales para el publico general en la proxima decada.",No Amarillista,Falsa
111,Financial Times,Intel crea el primer chip capaz de auto-repararse,El futuro de la tecnologia de semiconductores,"Intel ha desarrollado un chip revolucionario que puede detectar y reparar sus propios defectos, aumentando significativamente la vida util y la fiabilidad de los dispositivos electronicos.",No Amarillista,Falsa
112,BBC Science,NVIDIA desarrolla graficos por computadora indistinguibles de la realidad,La linea entre lo real y lo virtual se desvanece,"NVIDIA ha lanzado una nueva tecnologia de graficos que, segun afirman, es completamente indistinguible de la realidad, marcando un hito en el campo de la visualizacion y los videojuegos.",No Amarillista,Falsa
113,Bloomberg Tech,Sony patenta un sistema de IA que escribe guiones de peliculas,El cine dirigido por inteligencia artificial,"Sony ha desarrollado una IA que no solo puede escribir guiones, sino que tambien sugiere directrices para la cinematografia, prometiendo una nueva era en la produccion de peliculas.",No Amarillista,Falsa
114,Reuters Tech,Samsung anuncia bateria que dura una semana en smartphones,Revolucionario avance en tecnologia de baterias,Samsung ha presentado una nueva bateria de grafeno que promete mantener los smartphones encendidos hasta por una semana con una sola carga.,No Amarillista,Falsa
115,The Guardian Science,Cientificos de Harvard convierten CO2 en combustible liquido,Una solucion potencial al cambio climatico,"Investigadores de la Universidad de Harvard han desarrollado un metodo economico y eficiente para convertir el dioxido de carbono del aire en combustible liquido, prometiendo una revolucion en la energia sostenible.",No Amarillista,Falsa
116,CNBC,Amazon desarrolla drones capaces de entregar paquetes a cualquier parte del mundo,El futuro de la logistica global,Amazon ha anunciado una nueva flota de drones que pueden entregar paquetes a cualquier ubicacion mundial en menos de dos horas.,No Amarillista,Falsa
117,Science American,Pfizer crea medicamento que previene todas las alergias,Una solucion integral para los alergicos,"Pfizer ha desarrollado una pildora que, segun afirman, previene todas las reacciones alergicas conocidas, con efectos que duran hasta cinco anos.",No Amarillista,Falsa
118,TechCrunch,Apple desarrolla un teclado invisible para iPads,Escribir en el aire ahora es posible,"Apple ha patentado un teclado holografico que permite a los usuarios escribir en el aire, interfiriendo directamente con sus iPads sin contacto fisico.",No Amarillista,Falsa
119,New Scientist,Descubren un nuevo material que hace invisibles los objetos,La invisibilidad ya no es solo cosa de ficcion,"Cientificos del MIT han creado un material que puede hacer invisibles los objetos al doblar la luz alrededor de ellos, similar a como lo describen las novelas de ciencia ficcion.",No Amarillista,Falsa
120,Bloomberg Environment,Tesla lanza pintura que absorbe CO2 para automoviles,Una innovacion ecologica en la industria automotriz,"Tesla ha introducido una nueva pintura automotriz que absorbe dioxido de carbono mientras el vehiculo esta en movimiento, reduciendo significativamente la huella de carbono.",No Amarillista,Falsa
121,Wired Tech,Google crea un sistema de traduccion para comunicarse con animales,Entendiendo a nuestras mascotas,"Google ha anunciado un nuevo sistema de IA que, afirman, puede traducir los sonidos y gestos de los animales a lenguaje humano, prometiendo una nueva era en la comunicacion entre especies.",No Amarillista,Falsa
122,Forbes Health,Johnson & Johnson lanza vacuna contra el envejecimiento,Un gran paso hacia la juventud perpetua,"Johnson & Johnson ha lanzado una vacuna que promete reducir los efectos del envejecimiento, extendiendo la juventud y mejorando la calidad de vida general.",No Amarillista,Falsa
123,Nature Climate,Crean nubes artificiales que regulan el clima global,Geoingenieria para combatir el cambio climatico,"Cientificos en Suiza han desarrollado una tecnologia para crear nubes artificiales que pueden regular las temperaturas globales, ofreciendo una nueva herramienta contra el calentamiento global.",No Amarillista,Falsa
124,BBC Future,Intel lanza computadora que se alimenta de energia solar,Computadoras mas verdes que nunca,"Intel ha anunciado una nueva linea de computadoras de escritorio y laptops que funcionan completamente con energia solar, prometiendo reducir drasticamente el consumo de energia en tecnologia.",No Amarillista,Falsa
125,Nature Tech,Microsoft inventa un 'traductor' de pensamientos a texto,Comunicacion directa del cerebro a la computadora,"Microsoft ha presentado un dispositivo que puede traducir pensamientos directos en texto, permitiendo a los usuarios escribir sin mover un musculo.",No Amarillista,Falsa
126,Financial Times Tech,SpaceX prueba exitosamente propulsor para viajes intergalacticos,El turismo intergalactico esta mas cerca de lo que pensamos,SpaceX ha anunciado el exito en las pruebas de un nuevo tipo de motor que podria llevar a los humanos mas alla del sistema solar.,No Amarillista,Falsa
127,Science Daily,Descubren planta que produce plastico biodegradable,Solucion sostenible al problema del plastico,Investigadores de la Universidad de California han modificado geneticamente una planta para que produzca un tipo de plastico completamente biodegradable.,No Amarillista,Falsa
128,The Verge,NVIDIA anuncia chips que imitan la percepcion humana,Hacia una IA realmente como el cerebro humano,"NVIDIA ha desarrollado un nuevo chip que, aseguran, procesa la informacion de manera tan compleja y matizada como el cerebro humano.",No Amarillista,Falsa
129,Reuters Health,Cura para la calvicie encontrada en un compuesto de coral,Esperanza para millones que sufren de perdida de cabello,"Cientificos de Pfizer han descubierto que un compuesto extraido de corales promueve el crecimiento del cabello, superando ampliamente los tratamientos existentes.",No Amarillista,Falsa
130,Wired Science,Crean lentes de contacto con zoom optico,Ver mas alla con solo un guino,"Investigadores del MIT han creado lentes de contacto que permiten al usuario hacer zoom optico con solo parpadear dos veces, prometiendo revolucionar la vision.",No Amarillista,Falsa
131,CNBC Tech,Apple revela nuevo sistema operativo autoactualizable,El ultimo OS que necesitaras,"Apple ha lanzado un nuevo sistema operativo que se actualiza automaticamente con nuevas funciones y seguridad sin intervencion del usuario, eliminando la necesidad de actualizaciones manuales.",No Amarillista,Falsa
132,Bloomberg Energy,Generador de energia de fusion fria es una realidad,Energia limpia e ilimitada en el horizonte,"General Electric ha anunciado que ha logrado la fusion fria en un entorno controlado, ofreciendo una fuente de energia potencialmente ilimitada y limpia.",No Amarillista,Falsa
133,TechCrunch,Google patenta un asistente de IA para la toma de decisiones personales,IA que ayuda en decisiones de vida,"Google ha desarrollado un asistente de IA que puede asesorar a los usuarios en decisiones personales y profesionales, basandose en analisis de datos y comportamiento previo.",No Amarillista,Falsa
134,IEEE Spectrum,Avances en computacion cuantica aumentan la velocidad de procesamiento,"Cientificos logran un avance significativo en la estabilidad de los qubits, multiplicando la eficiencia de los procesadores cuanticos.","Un equipo de fisicos en MIT ha desarrollado una nueva tecnica que estabiliza qubits a temperaturas ligeramente superiores a las usadas comunmente, lo que podria revolucionar la computacion cuantica.",No Amarillista,Verdadera
135,Nature Communications,Descubrimiento de un nuevo material superconductor a temperatura ambiente,"Investigadores han creado un material que actua como superconductor a 15°C, un hito en la fisica de materiales.","Este descubrimiento, hecho por cientificos de la Universidad de Cambridge, podria tener aplicaciones significativas en tecnologias de energia y transporte.",No Amarillista,Verdadera
136,The Astrophysical Journal,Nueva exoplaneta encontrado en la zona habitable de su estrella,El telescopio espacial James Webb descubre un exoplaneta que podria tener condiciones similares a la Tierra.,Este hallazgo abre nuevas posibilidades para la busqueda de vida extraterrestre en el sistema solar del exoplaneta.,No Amarillista,Verdadera
137,Scientific American,Innovacion en baterias de litio-sulfuro promete mas autonomia para vehiculos electricos,Una nueva tecnologia en baterias podria extender la duracion de la carga hasta un 50% mas que las actuales de litio.,"Investigadores del Caltech han desarrollado un metodo para estabilizar las baterias de litio-sulfuro, potencialmente duplicando la vida util de las baterias de los vehiculos electricos.",No Amarillista,Verdadera
138,MIT Technology Review,Inteligencia Artificial ahora puede predecir enfermedades cardiacas con un 90% de exactitud,Nueva IA desarrollada para analizar imagenes medicas puede identificar signos tempranos de enfermedades cardiacas.,"Esta herramienta, creada por investigadores de Stanford, utiliza algoritmos avanzados para analizar imagenes de resonancia magnetica cardiaca, mejorando significativamente la precision diagnostica.",No Amarillista,Verdadera
139,Physics Today,Nuevo metodo de enfriamiento sin energia descubierto,Cientificos desarrollan un proceso que utiliza materiales superaislantes para enfriar objetos sin electricidad.,"El descubrimiento hecho por investigadores de la Universidad de Zurich podria revolucionar los sistemas de refrigeracion, especialmente en areas sin acceso a la red electrica.",No Amarillista,Verdadera
140,Journal of Applied Physics,Crean tela que genera electricidad a partir del movimiento humano,"Una nueva fibra textil puede convertir la energia mecanica en electrica, potencial para ropa inteligente.","Desarrollada en la Universidad de Tokio, esta tecnologia podria usarse en dispositivos portatiles para cargar telefonos o sensores de salud.",No Amarillista,Verdadera
141,Chemistry World,Descubren metodo para convertir CO2 en combustible limpio,Investigadores encuentran una forma eficiente y economica de convertir dioxido de carbono en metanol.,"El proceso, descubierto por quimicos de la Universidad de Illinois, podria ayudar a combatir el cambio climatico transformando gases de efecto invernadero en combustibles utiles.",No Amarillista,Verdadera
142,Cell,Terapia celular muestra resultados prometedores en la regeneracion de tejido cardiaco,Un nuevo tratamiento basado en celulas madre podria reparar el corazon despues de un infarto.,Investigadores del Instituto Karolinska en Suecia han demostrado que la terapia celular puede mejorar significativamente la recuperacion en modelos animales.,No Amarillista,Verdadera
143,Frontiers in Robotics and AI,Robots autonomos mejoran la eficiencia en la agricultura,Robots equipados con IA y sensores avanzados pueden aumentar la produccion y reducir los costos en agricultura.,Un estudio realizado en la Universidad de Wageningen ha mostrado como estos robots pueden manejar cultivos y suelos de manera mas efectiva que los metodos tradicionales.,No Amarillista,Verdadera
144,Science Advances,Nuevo algoritmo optimiza la gestion de redes electricas,Cientificos desarrollan un algoritmo que mejora la distribucion de energia y reduce las perdidas.,"La Universidad de Stanford ha creado un sistema que permite una gestion mas eficiente de la carga en las redes electricas, optimizando el uso y distribucion de la energia.",No Amarillista,Verdadera
145,Nature Biotechnology,Avances en edicion genetica curan rara enfermedad genetica en modelos animales,CRISPR/Cas9 se utiliza con exito para tratar la distrofia muscular en ratones.,"Este estudio, llevado a cabo por investigadores de la Universidad de Pennsylvania, muestra un progreso significativo en la cura de enfermedades geneticas mediante la edicion de genes.",No Amarillista,Verdadera
146,Environmental Science & Technology,Nueva tecnologia de desalinizacion ofrece agua potable a bajo costo,Una tecnica mas eficiente y menos costosa podria ayudar a resolver la crisis mundial del agua.,"Desarrollada por cientificos de la Universidad Nacional de Singapur, esta tecnologia utiliza menos energia y recursos que los metodos convencionales de desalinizacion.",No Amarillista,Verdadera
147,Nano Letters,Nanoparticulas utilizadas para eliminar contaminantes de aguas subterraneas,Cientificos desarrollan nanoparticulas que pueden descontaminar eficazmente el agua subterranea de metales pesados.,Investigadores de la Universidad de California en Berkeley han creado particulas que se unen a metales pesados y los eliminan sin dejar residuos toxicos.,No Amarillista,Verdadera
148,Journal of Neural Engineering,Implante cerebral permite a pacientes con paralisis controlar dispositivos con la mente,"Nuevo dispositivo implantable puede traducir los pensamientos en comandos digitales, permitiendo a personas paralizadas interactuar con el entorno.","El dispositivo, desarrollado por investigadores del MIT, ha sido probado con exito en varios pacientes, mejorando su calidad de vida al permitirles controlar computadoras y sillas de ruedas electricas.",No Amarillista,Verdadera
149,Renewable Energy,Granja solar flotante rompe records de eficiencia energetica,Una nueva instalacion solar flotante ha superado las expectativas en la generacion de energia limpia.,"Situada en un lago artificial en China, esta granja solar utiliza paneles que se ajustan automaticamente a la posicion del sol, maximizando la absorcion de luz.",No Amarillista,Verdadera
150,Science Robotics,Nuevo robot quirurgico realiza operaciones con precision submilimetrica,"Desarrollado por ingenieros de la Universidad de Stanford, este robot puede llevar a cabo procedimientos quirurgicos delicados con una precision sin precedentes.","El robot ha sido utilizado en cirugias de ojo y cerebro, donde la precision es crucial, y ha mostrado mejorar los resultados post-operatorios.",No Amarillista,Verdadera
151,Astronomy & Astrophysics,Telescopio identifica la galaxia mas distante jamas vista,"Con ayuda del telescopio espacial Hubble, astronomos han detectado una galaxia a 13.4 mil millones de anos luz de distancia.",Este descubrimiento ayuda a los cientificos a entender mejor la formacion y evolucion de las galaxias en el universo temprano.,No Amarillista,Verdadera
152,American Journal of Public Health,Estudio revela que la vacunacion masiva reduce drasticamente las enfermedades infecciosas,Un analisis global muestra como las campanas de vacunacion han disminuido las tasas de enfermedades como el sarampion.,Datos recopilados de mas de 100 paises confirman que las vacunas son una de las herramientas mas efectivas en la salud publica para prevenir enfermedades.,No Amarillista,Verdadera
153,Nature Genetics,Identifican genes vinculados a la longevidad en humanos,Un estudio reciente ha identificado varios genes asociados con una mayor longevidad en distintas poblaciones.,"Investigadores de la Universidad de Harvard han descubierto genes que contribuyen significativamente a la longevidad, abriendo la puerta a nuevas estrategias de prevencion de enfermedades relacionadas con la edad.",No Amarillista,Verdadera
154,The Lancet,Vacuna contra el Alzheimer muestra resultados prometedores en fase inicial,Una nueva vacuna dirigida a combatir el Alzheimer ha pasado las primeras pruebas de seguridad y eficacia.,"Desarrollada por cientificos del Instituto Karolinska, esta vacuna ha mostrado una reduccion significativa en los biomarcadores de la enfermedad en pacientes tempranos.",No Amarillista,Verdadera
155,Journal of Climate,Modelos climaticos predicen aumento de eventos extremos,Un estudio reciente muestra que el calentamiento global intensificara los fenomenos meteorologicos extremos.,"Utilizando datos avanzados, investigadores de la NOAA predicen que las olas de calor, huracanes y sequias seran mas frecuentes y severas.",No Amarillista,Verdadera
156,Cell Metabolism,Descubren como la dieta afecta el reloj biologico y la longevidad,"Investigadores encuentran conexion entre dieta, ritmos circadianos y vida prolongada.","El estudio, realizado en la Universidad de California, sugiere que una dieta baja en calorias puede alterar el reloj biologico para prolongar la vida.",No Amarillista,Verdadera
157,Energy Policy,Nueva politica energetica podria reducir la dependencia del carbon,Gobiernos de todo el mundo se estan moviendo hacia politicas que favorecen las energias renovables sobre el carbon.,"Un analisis de la Agencia Internacional de Energia muestra un cambio significativo en la inversion hacia energias mas limpias, con un impacto potencial en la reduccion de las emisiones de carbono.",No Amarillista,Verdadera
158,Materials Today,Crean un nuevo compuesto que duplica la resistencia del acero,El nuevo material podria revolucionar la industria de la construccion y aeronautica.,Cientificos de la Universidad Tecnologica de Delft han desarrollado un compuesto que combina metales ligeros con una estructura nanometrica para lograr una resistencia sin precedentes.,No Amarillista,Verdadera
159,Journal of Human Evolution,Fosiles recien descubiertos podrian reescribir la historia de la evolucion humana,Hallazgos en Africa sugieren la existencia de especies humanas desconocidas hasta ahora.,"Los fosiles, encontrados en Etiopia y datados hace mas de 2 millones de anos, indican la posibilidad de ramas desconocidas en el arbol genealogico humano.",No Amarillista,Verdadera
160,Nature Neuroscience,Identifican como el cerebro procesa los idiomas multiples,Estudio muestra que bilingues tienen una mayor conectividad neuronal en areas especificas del cerebro.,Investigadores de la Universidad de Montreal han mapeado las conexiones cerebrales que se fortalecen con el uso simultaneo de varios idiomas.,No Amarillista,Verdadera
161,Environmental Health Perspectives,Contaminacion del aire vinculada a un aumento en las enfermedades cardiovasculares,Un estudio a gran escala encuentra una correlacion clara entre la calidad del aire y la salud cardiaca.,"La investigacion, realizada por el Instituto de Salud Global de Barcelona, muestra que incluso pequenas mejoras en la calidad del aire pueden reducir significativamente las tasas de enfermedades cardiovasculares.",No Amarillista,Verdadera
162,Science Translational Medicine,Nueva tecnica de imagen mejora la deteccion del cancer de mama,Un metodo mas preciso y menos invasivo podria cambiar el diagnostico del cancer de mama.,"Desarrollado en la Universidad Johns Hopkins, este nuevo enfoque utiliza inteligencia artificial para interpretar imagenes de ultrasonido y detectar tumores con mayor precision.",No Amarillista,Verdadera
163,Applied Physics Letters,Avances en LED azules podrian reducir costos de iluminacion mundialmente,Nuevos materiales incrementan la eficiencia y durabilidad de los LEDs azules.,Investigadores de la Universidad de Stanford han desarrollado un nuevo tipo de material semiconductor que mejora el rendimiento y reduce los costos de los LEDs azules.,No Amarillista,Verdadera
164,Planetary Science Journal,Hallan evidencias de antiguos rios en Marte,Datos recogidos por el rover Curiosity indican que Marte tuvo rios que fluian durante millones de anos.,Los cientificos de la NASA han analizado sedimentos y rocas que sugieren la presencia de cuerpos de agua en la superficie marciana en el pasado.,No Amarillista,Verdadera
165,Journal of Renewable and Sustainable Energy,Turbina eolica sin aspas promete revolucionar la energia eolica,Una nueva tecnologia de turbina eolica podria eliminar problemas asociados con el ruido y la fauna.,"Desarrollada en Espana, esta innovadora turbina utiliza vibraciones inducidas por el viento para generar energia, reduciendo el impacto ambiental y aumentando la eficiencia.",No Amarillista,Verdadera
166,ACS Nano,Nanotecnologia aplicada a la purificacion de agua muestra resultados superiores,Nuevos filtros de nanotubos pueden eliminar impurezas y patogenos mas eficazmente que los metodos tradicionales.,"Investigadores del MIT han creado filtros que usan nanotubos de carbono para purificar agua, mostrando una capacidad excepcional para eliminar bacterias y virus.",No Amarillista,Verdadera
167,The Astronomical Journal,Descubren planeta con tres soles en un sistema estelar inusual,"El planeta, que orbita tres estrellas, plantea preguntas interesantes sobre la formacion planetaria.",Astronomos de la Universidad de Arizona han identificado un raro sistema triple estelar con un planeta gigante gaseoso que ofrece nuevas perspectivas sobre los sistemas planetarios.,No Amarillista,Verdadera
168,Nature Medicine,Primer tratamiento exitoso de la esclerosis multiple con celulas madre,Una terapia innovadora con celulas madre muestra remision de la esclerosis multiple en estudios clinicos.,"Este tratamiento, desarrollado por investigadores de la Universidad de Cambridge, ha mostrado una disminucion significativa en la actividad de la enfermedad sin efectos secundarios graves.",No Amarillista,Verdadera
169,Science of the Total Environment,Estudio global indica reduccion de la capa de ozono sobre Antartida,Cientificos documentan la disminucion mas rapida de la capa de ozono en las ultimas decadas.,"El estudio, realizado por la Organizacion Meteorologica Mundial, sugiere que la reduccion de CFCs ha tenido un impacto positivo, pero que nuevas amenazas emergen rapidamente.",No Amarillista,Verdadera
170,Journal of Materials Chemistry A,Desarrollan pintura solar que puede generar electricidad,Una nueva pintura capaz de absorber la luz solar y convertirla en energia electrica ha sido creada.,"Cientificos de la Universidad de Sheffield han desarrollado una pintura que incorpora materiales semiconductores, capaz de generar electricidad incluso en dias nublados.",No Amarillista,Verdadera
171,Geophysical Research Letters,Nuevas pruebas sugieren que el agua subterranea en Marte es accesible,Estudios indican que vastos depositos de agua podrian estar presentes a poca profundidad en algunas regiones de Marte.,"La investigacion, liderada por la Universidad de Arizona, ofrece esperanzas de que el agua podria ser extraida facilmente por futuras misiones humanas.",No Amarillista,Verdadera
